Tempo,percentual umidade,medicao umidade
318,46.0,547.0
319,46.0,548.0
320,46.0,548.0
321,46.0,548.0
322,46.0,547.0
323,46.0,547.0
324,46.0,548.0
325,46.0,548.0
326,46.0,548.0
327,46.0,550.0
328,46.0,550.0
329,46.0,550.0
330,46.0,551.0
331,46.0,551.0
332,46.0,551.0
333,46.0,552.0
334,46.0,551.0
335,46.0,552.0
336,46.0,551.0
337,46.0,551.0
338,46.0,551.0
339,46.0,552.0
340,46.0,552.0
341,45.0,554.0
342,45.0,553.0
343,45.0,554.0
344,45.0,554.0
345,45.0,554.0
346,45.0,554.0
347,45.0,555.0
348,45.0,555.0
349,45.0,554.0
350,45.0,555.0
351,45.0,555.0
352,45.0,555.0
353,45.0,556.0
354,45.0,555.0
355,45.0,555.0
356,45.0,556.0
357,45.0,555.0
358,45.0,556.0
359,45.0,556.0
360,45.0,556.0
361,45.0,556.0
362,45.0,556.0
363,45.0,556.0
364,45.0,554.0
365,45.0,553.0
366,45.0,555.0
367,45.0,556.0
368,45.0,555.0
369,45.0,556.0
370,45.0,556.0
371,45.0,556.0
372,45.0,555.0
373,45.0,556.0
374,45.0,554.0
375,45.0,554.0
376,45.0,555.0
377,45.0,555.0
378,45.0,555.0
379,45.0,554.0
380,45.0,553.0
381,45.0,553.0
382,46.0,552.0
383,46.0,552.0
384,46.0,551.0
385,45.0,553.0
386,46.0,552.0
387,46.0,552.0
388,45.0,554.0
389,46.0,552.0
390,46.0,552.0
391,45.0,553.0
392,45.0,553.0
393,45.0,553.0
394,45.0,554.0
395,45.0,555.0
396,45.0,553.0
397,45.0,553.0
398,45.0,553.0
399,45.0,553.0
400,45.0,553.0
401,46.0,552.0
402,46.0,552.0
403,45.0,553.0
404,46.0,551.0
405,46.0,551.0
406,46.0,552.0
407,45.0,554.0
408,45.0,554.0
409,46.0,552.0
410,46.0,552.0
411,45.0,553.0
412,45.0,554.0
413,45.0,554.0
414,45.0,555.0
415,45.0,556.0
416,45.0,556.0
417,45.0,556.0
418,45.0,553.0
419,45.0,554.0
420,45.0,555.0
421,45.0,557.0
422,45.0,557.0
423,45.0,558.0
424,45.0,558.0
425,45.0,559.0
426,45.0,558.0
427,45.0,559.0
