Tempo,percentual umidade,medicao umidade
0,34.0,673.0
1,34.0,671.0
2,34.0,674.0
3,34.0,672.0
4,34.0,673.0
5,34.0,667.0
6,34.0,672.0
7,34.0,674.0
8,33.0,677.0
9,34.0,673.0
10,34.0,675.0
11,33.0,677.0
12,33.0,679.0
13,33.0,677.0
14,33.0,678.0
15,33.0,680.0
16,33.0,679.0
17,33.0,680.0
18,33.0,680.0
19,33.0,683.0
20,33.0,678.0
21,33.0,681.0
22,33.0,681.0
23,33.0,678.0
24,33.0,680.0
25,33.0,678.0
26,33.0,679.0
27,33.0,681.0
28,34.0,674.0
29,33.0,678.0
30,33.0,678.0
31,33.0,677.0
32,33.0,682.0
33,33.0,682.0
34,33.0,680.0
35,33.0,683.0
36,33.0,681.0
37,33.0,683.0
38,33.0,682.0
39,33.0,682.0
40,33.0,678.0
41,33.0,685.0
42,33.0,684.0
43,32.0,686.0
44,32.0,688.0
45,32.0,686.0
46,32.0,688.0
47,32.0,687.0
48,47.0,537.0
49,56.0,450.0
50,36.0,648.0
51,31.0,700.0
52,39.0,621.0
53,38.0,633.0
54,45.0,556.0
55,49.0,514.0
56,49.0,519.0
57,51.0,501.0
58,51.0,496.0
59,49.0,517.0
60,49.0,519.0
61,50.0,508.0
62,52.0,489.0
63,53.0,474.0
64,40.0,609.0
65,26.0,750.0
66,3.0,984.0
67,2.0,999.0
68,15.0,868.0
69,27.0,738.0
70,42.0,585.0
71,51.0,499.0
72,54.0,463.0
73,55.0,459.0
74,57.0,439.0
75,51.0,497.0
76,51.0,500.0
77,50.0,502.0
78,50.0,504.0
79,50.0,506.0
80,50.0,508.0
81,50.0,510.0
82,49.0,512.0
83,49.0,513.0
84,49.0,514.0
85,49.0,516.0
86,49.0,518.0
87,49.0,519.0
88,49.0,519.0
89,49.0,520.0
90,49.0,520.0
91,49.0,521.0
92,48.0,524.0
93,48.0,524.0
94,48.0,525.0
95,48.0,526.0
96,48.0,526.0
97,48.0,527.0
98,48.0,528.0
99,48.0,529.0
100,48.0,529.0
101,48.0,530.0
102,48.0,529.0
103,48.0,529.0
104,48.0,531.0
105,48.0,531.0
106,48.0,531.0
107,47.0,532.0
108,47.0,533.0
109,47.0,533.0
110,47.0,534.0
111,47.0,534.0
112,47.0,536.0
113,47.0,536.0
114,47.0,537.0
115,47.0,539.0
116,47.0,538.0
117,47.0,539.0
118,47.0,539.0
119,47.0,541.0
120,47.0,540.0
121,47.0,541.0
122,47.0,540.0
123,46.0,544.0
124,46.0,543.0
125,46.0,544.0
126,46.0,543.0
127,46.0,545.0
128,46.0,546.0
129,46.0,544.0
130,46.0,546.0
131,46.0,544.0
132,46.0,546.0
133,46.0,549.0
134,46.0,548.0
135,46.0,550.0
136,46.0,551.0
137,46.0,551.0
138,46.0,552.0
139,46.0,552.0
140,45.0,554.0
141,45.0,553.0
142,45.0,556.0
143,45.0,555.0
144,45.0,556.0
145,45.0,557.0
146,45.0,555.0
147,45.0,557.0
148,45.0,556.0
149,45.0,553.0
150,46.0,552.0
151,45.0,554.0
152,45.0,556.0
153,45.0,556.0
154,45.0,556.0
155,45.0,555.0
156,45.0,556.0
157,45.0,558.0
158,45.0,558.0
159,45.0,558.0
160,45.0,558.0
161,45.0,560.0
162,45.0,560.0
163,45.0,559.0
164,45.0,557.0
165,45.0,561.0
166,45.0,562.0
167,45.0,562.0
168,44.0,564.0
169,44.0,563.0
170,44.0,563.0
171,44.0,564.0
172,44.0,565.0
173,44.0,567.0
174,44.0,566.0
175,44.0,567.0
176,44.0,569.0
